"""c.id""","""k.idpessoa"""
380,278
400,278
401,278
338,278
356,278
379,278
287,278
288,278
297,278
248,278
258,278
272,278
226,278
247,278
235,278
199,278
212,278
205,278
197,278
182,278
154,278
131,278
116,278
32,278
16,278
2,278
380,354
400,354
401,354
338,354
356,354
379,354
287,354
288,354
297,354
248,354
258,354
272,354
226,354
235,354
247,354
199,354
212,354
205,354
182,354
197,354
131,354
154,354
116,354
16,354
32,354
2,354
379,579
380,579
400,579
338,579
401,579
16,579
2,579
32,579
131,579
116,579
154,579
182,579
205,579
199,579
197,579
235,579
247,579
226,579
212,579
272,579
258,579
248,579
297,579
288,579
287,579
356,579
379,591
380,591
400,591
338,591
356,591
287,591
288,591
297,591
248,591
258,591
272,591
226,591
212,591
247,591
235,591
199,591
197,591
205,591
154,591
182,591
116,591
131,591
32,591
16,591
2,591
401,591
380,1963
400,1963
401,1963
338,1963
2,1963
16,1963
32,1963
116,1963
154,1963
131,1963
182,1963
197,1963
205,1963
212,1963
199,1963
235,1963
247,1963
226,1963
272,1963
258,1963
248,1963
297,1963
288,1963
287,1963
379,1963
356,1963
379,2195
380,2195
400,2195
338,2195
356,2195
287,2195
288,2195
297,2195
247,2195
248,2195
258,2195
272,2195
212,2195
226,2195
235,2195
197,2195
199,2195
205,2195
182,2195
154,2195
116,2195
131,2195
32,2195
2,2195
16,2195
401,2195
379,2623
380,2623
400,2623
401,2623
338,2623
356,2623
287,2623
288,2623
297,2623
248,2623
258,2623
272,2623
226,2623
235,2623
247,2623
199,2623
197,2623
212,2623
205,2623
182,2623
154,2623
131,2623
116,2623
32,2623
16,2623
2,2623
311,2749
326,2749
161,2749
191,2749
187,2749
131,2749
130,2749
133,2749
65,2749
94,2749
110,2749
112,2749
63,2749
29,2749
32,2749
12,2749
379,2876
380,2876
400,2876
338,2876
356,2876
287,2876
288,2876
297,2876
248,2876
247,2876
258,2876
272,2876
212,2876
226,2876
235,2876
199,2876
197,2876
205,2876
182,2876
154,2876
116,2876
131,2876
32,2876
2,2876
16,2876
401,2876
380,3115
400,3115
401,3115
338,3115
356,3115
379,3115
287,3115
288,3115
297,3115
248,3115
258,3115
272,3115
226,3115
235,3115
247,3115
199,3115
212,3115
205,3115
182,3115
197,3115
131,3115
154,3115
116,3115
32,3115
16,3115
2,3115
380,3432
400,3432
401,3432
338,3432
356,3432
379,3432
287,3432
288,3432
297,3432
248,3432
258,3432
272,3432
226,3432
247,3432
235,3432
199,3432
212,3432
205,3432
197,3432
182,3432
131,3432
154,3432
116,3432
32,3432
16,3432
2,3432
379,4303
380,4303
400,4303
338,4303
356,4303
287,4303
288,4303
297,4303
248,4303
247,4303
258,4303
272,4303
212,4303
226,4303
235,4303
199,4303
197,4303
205,4303
182,4303
154,4303
116,4303
131,4303
32,4303
2,4303
16,4303
401,4303
379,4322
380,4322
400,4322
338,4322
356,4322
287,4322
288,4322
297,4322
248,4322
247,4322
258,4322
272,4322
212,4322
226,4322
235,4322
199,4322
197,4322
205,4322
182,4322
154,4322
116,4322
131,4322
32,4322
2,4322
16,4322
401,4322
379,4338
380,4338
400,4338
338,4338
356,4338
287,4338
288,4338
297,4338
248,4338
247,4338
258,4338
272,4338
226,4338
212,4338
235,4338
197,4338
205,4338
199,4338
154,4338
182,4338
116,4338
131,4338
32,4338
16,4338
2,4338
401,4338
