"author_id";"author_id";"count"
80;52586;1
80;16481751;4
80;29789552;45
278;91730;5
278;100893;23
278;335402;2
278;493891;1
278;522123;1
278;834161;1
278;837034;2
278;918191;4
278;1286651;15
278;1672672;1
278;1689416;2
278;1745006;16
278;1884269;1
278;2191361;1
278;3076896;3
278;4178417;12
278;4367440;3
278;4759699;10
278;5001742;4
278;5344440;2
278;5449021;1
278;5459214;6
278;5658439;2
278;5785605;4
278;6104418;16
278;6773375;2
278;7062400;3
278;7236993;9
278;7530735;1
278;7688266;13
278;7693422;2
278;11657829;1
278;12699319;2
278;12752197;7
278;13111288;21
278;19172805;27
278;19662444;10
278;20855209;2
278;22482503;14
278;22520185;1
278;22875497;4
278;22899615;1
278;22985595;9
278;23079251;2
278;24448061;3
278;26801153;12
278;28946359;4
278;37302373;4
354;278;2
354;1963;9
354;11041;2
354;23304;2
354;37310;2
354;44136;4
354;58055;1
354;87555;8
354;88819;17
354;98927;1
354;119737;46
354;126021;14
354;158611;8
354;203583;3
354;298299;1
354;366488;38
354;403748;1
354;451477;1
354;473482;8
354;489420;7
354;493891;6
354;543193;1
354;562574;9
354;676637;1
354;730123;62
354;770962;7
354;826111;50
354;834161;2
354;903617;35
354;929377;9
354;978965;7
354;980082;20
354;1163175;61
354;1275238;3
354;1445228;1
354;1613024;1
354;1701782;8
354;1787169;5
354;1862850;7
354;2191361;2
354;2342749;4
354;2589105;1
354;2823529;6
354;3272040;5
354;3596412;60
354;3900799;2
354;3902875;4
354;3953239;1
354;3980984;7
354;4516999;1
354;4759699;3
354;4876867;3
354;5094756;1
354;5230419;1
354;5442475;9
354;5595220;2
354;5821883;2
354;6104418;1
354;6233452;30
354;6284003;1
354;6341218;7
354;6430994;1
354;6431099;4
354;6484332;6
354;6629765;2
354;6773375;2
354;7062400;2
354;7063592;19
354;7146319;3
354;7154008;1
354;7397746;3
354;8001968;2
354;8055242;18
354;8093535;2
354;8105590;7
354;8225098;154
354;8241000;1
354;8264113;2
354;8681801;5
354;9335600;21
354;10199099;1
354;10524058;3
354;10683203;7
354;10743879;3
354;10820769;22
354;11869554;25
354;11994812;1
354;12464768;6
354;13111288;12
354;13374016;2
354;14090308;1
354;15266642;1
354;15881573;23
354;16105680;6
354;17472298;1
354;20855209;2
354;22786043;1
354;22974967;1
354;25783555;1
354;26879063;9
354;30094939;1
354;30396467;28
354;30678878;1
354;33235082;5
579;6534;1
579;37303;1
579;54666;5
579;238531;2
579;495647;5
579;677994;3
579;1163554;2
579;13093042;1
591;16643108;1
638;28770520;1
1963;87555;2
1963;169553;1
1963;903617;3
1963;980082;1
1963;12265352;2
1963;20309044;1
1963;30410021;3
2195;238531;1
2195;7746331;1
2623;354;2
2749;248818;1
2876;439929;1
3115;10183;6
3115;184976;2
3115;523590;8
3115;647318;2
3115;940341;1
3115;947971;3
3115;1287154;1
3115;1431969;1
3115;1449175;1
3115;1787169;2
3115;2589105;3
3115;2823529;5
3115;3953239;1
3115;4358583;1
3115;4479947;1
3115;4876867;6
3115;5334145;1
3115;5403596;3
3115;6233452;6
3115;6629765;12
3115;6645992;2
3115;8061296;1
3115;8105590;1
3115;8264113;4
3115;10390785;8
3115;10524058;1
3115;10743879;11
3115;11994812;1
3115;12423751;8
3115;13030040;3
3432;368416;1
3432;4948210;3
3977;1468785;12
4303;20809;1
4303;234659;14
4303;498775;2
4303;567540;13
4303;598730;17
4303;718899;2
4303;731796;3
4303;899444;3
4303;924465;2
4303;1075063;1
4303;2291463;1
4303;3020626;4
4303;4299420;3
4303;5952481;80
4303;8822573;2
4303;9373002;3
4303;13121330;3
4322;579;1
4338;782880;3
4492;1929644;1
5061;856316;4
5061;1112263;16
5061;1748842;7
5061;1873655;4
5061;3027286;5
5061;3112159;2
5061;3902382;1
5061;4168984;2
5061;5105569;22
5061;5455421;1
5061;6932348;13
5061;8096033;13
5061;10232033;1
5061;12436991;5
5061;13191886;3
5061;13744128;4
5061;14262417;6
5061;16101605;1
5061;16481751;3
5061;16824702;1
5061;19253212;4
5061;30223680;6
5268;894050;3
5268;2823529;15
5688;439929;6
5750;598730;1
5750;5952481;12
6454;224224;1
6635;1787169;1
6635;5442475;1
8273;2342749;4
8273;3255190;1
9287;439929;4
9287;829734;1
9287;5192353;1
9475;7308241;3
9629;7154008;6
9758;980082;1
10183;278;1
10183;3115;6
10183;62707;1
10183;87555;4
10183;97335;1
10183;374924;1
10183;451477;2
10183;929377;1
10183;980082;1
10183;1075028;21
10183;1163175;3
10183;1171596;5
10183;1220660;47
10183;1701782;16
10183;1787169;2
10183;4876867;2
10183;4953962;3
10183;5122391;9
10183;5449021;2
10183;6233452;4
10183;7062400;3
10183;7294758;2
10183;7725777;2
10183;8734900;32
10183;10027921;56
10183;10199099;90
10183;10390785;94
10183;10608509;1
10183;10920260;2
10183;11994812;3
10183;14296719;1
10183;19662444;2
10183;20855209;2
10183;20979322;1
10183;24667625;4
10183;35932340;1
10602;2512748;1
11743;183678;2
11743;502646;2
11743;732630;1
12556;13677519;1
12801;749025;2
13315;5035902;1
13816;779129;1
14254;8103985;1
14672;26936;1
14672;176399;2
14672;1205386;1
15481;243674;4
15523;10137;1
15523;328420;1
15658;486876;1
15952;323413;1
15952;432351;2
15952;439929;3
15952;718899;1
15952;1037138;2
15952;1093990;3
15952;1340074;4
15952;1814479;2
15952;2512748;2
15952;3020626;2
15952;3967972;1
15952;5440566;2
15952;7455872;2
15952;10393198;3
16018;142222;1
16018;170179;1
16018;283711;6
16018;856081;3
16018;909104;35
16018;950759;1
16018;1214641;9
16018;1294940;4
16018;1367713;1
16018;1495065;62
16018;1595907;4
16018;1671644;3
16018;1713047;3
16018;1775518;67
16018;3387076;3
16018;3527868;2
16018;3942083;1
16018;4171702;3
16018;4277636;4
16018;4536087;9
16018;4623813;84
16018;4852870;2
16018;5588272;4
16018;6264414;2
16018;6307926;2
16018;6410074;1
16018;6513121;2
16018;6925549;16
16018;6932348;35
16018;7098701;1
16018;7589596;13
16018;7946809;5
16018;10109534;193
16018;10232033;4
16018;10272119;2
16018;15415443;9
16018;17731159;2
16018;22060313;1
16018;22581048;11
16018;23567362;11
16090;13410337;4
16542;1673574;2
16624;100893;1
16624;264816;6
16624;1328908;4
16624;1929644;2
16861;1672672;2
16936;1445228;1
17377;10137;1
17377;70704;1
17377;119407;1
17377;1465009;1
17377;1754678;2
17535;498775;5
17607;5688;34
17607;10137;1
17607;10602;4
17607;15952;28
17607;21203;9
17607;24795;1
17607;25829;1
17607;34695;2
17607;37303;1
17607;52195;16
17607;54666;18
17607;79017;8
17607;96947;4
17607;103052;10
17607;108959;1
17607;109690;2
17607;115237;3
17607;142914;3
17607;192891;31
17607;238531;10
17607;275871;18
17607;287917;16
17607;327019;5
17607;373545;2
17607;389390;8
17607;432351;13
17607;439929;150
17607;441346;2
17607;505333;1
17607;515506;4
17607;568962;7
17607;588262;7
17607;590520;2
17607;627123;3
17607;631240;2
17607;677994;17
17607;696611;3
17607;711968;4
17607;718899;23
17607;725842;2
17607;738830;2
17607;782880;20
17607;829827;1
17607;867492;3
17607;899444;11
17607;911174;2
17607;924465;6
17607;1028226;4
17607;1063255;5
17607;1189785;1
17607;1211498;14
17607;1315533;4
17607;1356314;1
17607;1420843;2
17607;1422781;1
17607;1424963;1
17607;1485909;1
17607;1559888;1
17607;1616242;1
17607;1740229;1
17607;1812260;1
17607;1857993;3
17607;1886698;5
17607;2512748;26
17607;3109072;33
17607;3187667;1
17607;3293332;1
17607;3367801;1
17607;3625244;1
17607;3729885;8
17607;3899684;3
17607;4299420;36
17607;4337080;1
17607;4421720;3
17607;4443482;4
17607;4448075;7
17607;4624411;2
17607;4923335;2
17607;5234060;4
17607;5355921;4
17607;5445507;1
17607;5876741;3
17607;5886475;3
17607;6148628;1
17607;6220422;4
17607;6447530;1
17607;6487691;1
17607;6686486;4
17607;6907399;2
17607;7131961;3
17607;7656167;1
17607;7886068;3
17607;8248574;1
17607;8297234;7
17607;8873545;15
17607;9319556;4
17607;10393198;21
17607;10450602;2
17607;11648785;2
17607;11734962;6
17607;11780786;8
17607;11979939;1
17607;12400507;1
17607;12488060;1
17607;12894547;1
17607;15161981;10
17607;15943089;1
17607;16020076;7
17607;17704638;1
17607;19511039;4
17607;22550884;4
17607;25247821;1
17879;275871;1
17978;17607;2
17978;54666;1
17978;79017;1
17978;176984;2
17978;213672;1
17978;238531;1
17978;261671;1
17978;275871;1
17978;323413;1
17978;327019;3
17978;387506;1
17978;899444;1
17978;1093990;2
17978;1751772;1
17978;5091521;1
17978;6148628;1
17978;6907399;1
17978;7485592;1
17978;7835569;1
17978;7953527;1
17978;9713228;1
17978;14335127;2
17978;15719232;1
18332;677994;1
18923;366488;1
18968;137574;1
19408;195271;1
19714;205482;1
19725;9938;1
19725;20708;1
19725;23288;1
19725;26936;2
19725;33886;1
19725;41992;1
19725;47313;4
19725;76576;1
19725;119407;1
19725;127811;1
19725;160332;2
19725;176399;7
19725;196110;2
19725;208957;3
19725;243674;1
19725;248818;1
19725;288535;1
19725;362092;1
19725;383212;4
19725;402777;1
19725;408368;1
19725;417674;1
19725;447579;1
19725;481937;1
19725;504977;3
19725;610090;1
19725;626664;2
19725;648874;1
19725;672421;1
19725;749025;3
19725;769773;1
19725;904790;1
19725;915176;3
19725;1205386;2
19725;1957048;1
19725;5285809;1
20283;98927;1
20283;5785605;1
20809;52195;22
20809;100928;2
20809;109690;2
20809;110455;2
20809;150464;1
20809;186268;5
20809;219051;2
20809;220205;4
20809;294429;5
20809;352304;1
20809;376661;3
20809;432351;8
20809;439929;20
20809;484181;11
20809;505333;4
20809;588898;3
20809;598730;2
20809;718899;4
20809;825219;14
20809;899444;44
20809;966512;1
20809;1067818;15
20809;1068061;1
20809;1093990;7
20809;1161104;1
20809;1299873;8
20809;1424963;13
20809;1526036;1
20809;1538624;3
20809;1764512;22
20809;1848673;1
20809;2352663;3
20809;2512748;4
20809;3020626;2
20809;3065230;16
20809;3109072;3
20809;3192959;2
20809;3675357;1
20809;4048656;4
20809;4299420;8
20809;4574121;2
20809;4711855;10
20809;5015212;5
20809;5140142;6
20809;5952481;12
20809;6191849;7
20809;6441326;1
20809;6447530;1
20809;7060741;5
20809;7135896;11
20809;7202085;2
20809;7731478;1
20809;7927517;3
20809;8079370;14
20809;8228740;4
20809;8316625;12
20809;8822573;33
20809;9251453;2
20809;9609965;4
20809;10393198;1
20809;10933333;4
20809;11579108;2
20809;11750657;6
20809;11757354;8
20809;12564217;1
20809;12592200;2
20809;13121330;17
20809;15275371;6
20809;15656860;7
20809;15943089;1
20809;16024985;26
20809;17198500;5
20809;18708370;1
20809;19223482;4
20809;19530599;1
20809;21307931;2
20809;22822319;1
20809;23652004;4
20809;25074747;3
20809;25148017;7
20809;31617985;1
21203;1616242;3
21414;183678;1
21650;1048184;1
22063;34140249;6
22706;354;5
22706;37310;1
22706;47003;1
22706;49258;2
22706;100893;1
22706;195041;1
22706;366488;1
22706;770962;3
22706;826111;4
22706;1701782;1
22706;1787169;1
22706;2101035;1
22706;2191361;1
22706;2322270;4
22706;3596412;1
22706;3618819;3
22706;3900799;1
22706;5714066;4
22706;5979704;1
22706;6071698;2
22706;6777418;5
22706;7882754;7
22706;10819974;1
22706;12423751;3
22706;13865276;8
22706;15804885;3
23068;463737;1
23068;830545;1
23068;2789456;1
23068;3982092;1
23304;278;7
23304;354;2
23304;10183;3
23304;22076;1
23304;97335;3
23304;98927;2
23304;157083;4
23304;190448;2
23304;366488;3
23304;395621;1
23304;420707;1
23304;469764;3
23304;489420;2
23304;545723;1
23304;576341;1
23304;593300;1
23304;612092;1
23304;730123;11
23304;784144;1
23304;834161;1
23304;837034;4
23304;896032;1
23304;980082;6
23304;1117321;1
23304;1163175;3
23304;1332699;1
23304;1360539;2
23304;1417888;3
23304;1431969;3
23304;1445228;6
23304;1553979;1
23304;1701782;1
23304;1703842;5
23304;1777210;1
23304;1891217;1
23304;2342749;2
23304;3081592;1
23304;3262098;3
23304;3293997;2
23304;3880001;1
23304;4402424;3
23304;4516999;4
23304;5154334;1
23304;5449021;8
23304;5595220;4
23304;5751682;2
23304;5821883;1
23304;6233452;9
23304;7063592;2
23304;7085343;1
23304;7813699;3
23304;8105590;1
23304;8225098;2
23304;8734900;2
23304;10052848;2
23304;10071498;1
23304;10199099;1
23304;10203229;1
23304;10524058;2
23304;10691174;1
23304;10743879;3
23304;10820769;1
23304;12265352;4
23304;12646029;1
23304;12699319;2
23304;13374016;2
23304;13921630;4
23304;14296719;1
23304;15881573;1
23304;17472298;1
23304;18046309;4
23304;18107181;4
23304;19172805;4
23304;19662444;25
23304;20855209;2
23304;20979322;1
23304;22482503;9
23304;23065472;2
23304;23203101;1
23304;24934058;4
23304;25783555;2
23304;26879063;1
23304;28776356;5
23304;30265084;2
23304;30396467;2
23304;30410021;1
24696;10374180;2
24933;7062400;2
25086;119407;1
25086;191200;1
25211;26879063;7
26527;8100;5
26527;577277;2
26527;966348;7
26527;5588272;1
26527;6932348;5
26527;8525546;3
